frame_number,track_id,x1,y1,x2,y2
47,3,985,206,2054,477
47,4,437,431,929,942
47,5,221,273,517,632
47,6,990,369,2125,822
47,7,933,99,1924,245
47,8,1560,155,2734,363
47,9,582,167,1217,397
47,10,813,218,1714,506
47,11,1202,286,2497,659
47,12,1163,148,2387,352
47,13,668,464,1288,940
47,14,1074,111,1928,281
47,15,786,59,1612,161
47,17,624,402,1247,887
47,18,465,397,1027,896
47,20,594,462,1431,972
47,26,853,218,1675,505
47,32,657,410,1436,874
47,35,787,215,1748,506
47,36,901,236,1841,548
47,39,801,108,1617,263
47,40,744,82,1501,178
47,45,648,419,1411,927
47,47,999,379,2106,838
47,49,976,404,2125,863
48,2,648,167,1347,404
48,3,980,206,2046,478
48,4,443,432,926,935
48,5,217,272,509,631
48,6,984,369,2119,825
48,7,930,98,1920,246
48,8,1575,156,2754,364
48,9,576,167,1209,398
48,10,803,218,1702,506
48,11,1195,287,2489,662
48,12,1160,149,2386,353
48,13,675,458,1296,929
48,14,1085,112,1942,282
48,15,783,59,1610,162
48,17,625,400,1251,885
48,18,453,398,1012,898
48,20,579,463,1416,973
48,26,850,217,1669,504
48,32,646,409,1421,870
48,35,779,216,1744,507
48,36,902,236,1841,548
48,39,790,107,1622,267
48,40,778,60,1599,165
48,45,645,415,1397,917
48,47,993,377,2103,837
48,49,953,414,2122,882
49,2,642,166,1340,404
49,3,972,206,2036,478
49,4,439,434,921,937
49,5,211,273,500,632
49,6,979,370,2113,829
49,7,925,99,1917,246
49,8,1591,156,2773,366
49,9,571,167,1202,398
49,10,793,218,1690,507
49,11,1187,288,2472,662
49,12,1157,149,2383,354
49,13,681,452,1326,939
49,14,1096,112,1956,283
49,15,781,59,1608,162
49,17,629,397,1255,880
49,18,445,400,1001,903
49,20,611,453,1375,927
49,26,846,216,1662,502
49,32,635,408,1405,865
49,35,771,216,1739,509
49,36,901,236,1840,548
49,39,780,107,1622,269
49,40,776,60,1596,165
49,45,667,411,1385,890
49,47,986,374,2100,836
49,49,930,425,2119,900
49,52,415,466,888,1009
50,2,635,167,1330,405
50,3,963,206,2026,479
50,4,432,436,915,943
50,5,202,273,487,632
50,6,970,372,2102,833
50,7,922,99,1911,247
50,9,566,168,1196,399
50,10,781,219,1679,511
50,11,1178,289,2461,663
50,12,1153,149,2381,354
50,13,676,446,1331,938
50,14,1107,112,1970,284
50,15,778,59,1606,162
50,17,635,395,1257,872
50,18,437,403,989,908
50,20,600,453,1358,924
50,26,814,219,1648,510
50,32,624,406,1389,861
50,35,763,217,1735,510
50,36,901,236,1839,548
50,39,774,108,1619,271
50,40,771,60,1591,165
50,45,670,407,1377,879
50,47,980,372,2097,836
50,49,906,436,2116,919
50,52,406,469,880,1013
51,2,625,168,1319,406
51,3,953,208,2016,482
51,4,424,440,908,949
51,5,192,273,474,634
51,6,961,375,2092,838
51,7,916,99,1905,248
